CommentID,VideoID,UserID,CommentText
1,BV1Ba4y197gM,1,饼哥是个干净人儿，小摊铁板都擦的好干净
2,BV1Ba4y197gM,2,为朴实的劳动人民点赞[呲牙]
3,BV1Ba4y197gM,3,有没有赞助商来一期变形记嗷， 饼轮去开演唱会，杰伦来做煎饼[doge]
4,BV1Ba4y197gM,4,《东风破》[doge]
5,BV1Ba4y197gM,5,[笑哭]希望有摩托厂商能赞助一下饼伦，这摩托看着有点怕。
6,BV1Ba4y197gM,6,[doge]
7,BV1Ba4y197gM,7,有人问昆凌呢，统一回复下，昆凌在和面[大笑][大笑][大笑]
8,BV1Ba4y197gM,8,期待跟手工耿定制个车[打call]，搞个梦幻联动
9,BV1Ba4y197gM,9,饼伦哥搬重物还是蹲下来搬比较好，弯腰搬时间长了容易腰不好[脸红]
10,BV1Ba4y197gM,10,这才是踏实的网红
11,BV1Ba4y197gM,11,饼哥这找的剪辑可以啊，哪怕不是靠着杰伦这个buff也是不错的视频
12,BV1Ba4y197gM,12,好干净！[tv_点赞]勤奋的饼哥，为朴实的劳动人民点赞！??
13,BV1Ba4y197gM,13,这种三孔插口又能插两孔的插排，不符合国标了，而且存在安全隐患。喜欢大家能注意????
14,BV1Ba4y197gM,14,这就是普通劳动人民的日常！现在太多人都脱离实际生活太久了！我也开一个放四个桌子的小饭馆，有的单位和学校老师来吃饭张口就是你这一天随随便便五百碗能卖吧！店里就我和老婆俩人干，我说可能吗，一碗饭九块，五百碗都四千多了一天，一年毛利一百多万了都！真以为普通劳动人民挣钱都很容易一样[OK]
15,BV1Ba4y197gM,15,别觉得这怎么样，送过外卖的表示比你们吃的外卖干净多了[嗑瓜子][嗑瓜子][嗑瓜子]咋滴吃着外卖觉得香喷喷[嗑瓜子]
16,BV1Ba4y197gM,16,令人羡慕的发量[doge][doge]
17,BV1Ba4y197gM,17,当我开始学做蛋饼，才发现你不吃早餐[tv_doge]
18,BV1Ba4y197gM,18,劳动人民最光荣
19,BV1Ba4y197gM,19,老弟辛苦了！姐姐衷心地祝愿老弟的生意越来越好，粉丝越来越多，人气越来越高！[嘟嘟][打call][给心心][星星眼]
20,BV1Ba4y197gM,20,这个一口气端盆的动作特别伤腰时间久了就会突然痛一下是很难受的 干厨师的应该都深有体会
21,BV1Ba4y197gM,21,同框[脱单doge]
22,BV1Ba4y197gM,22,老百姓赚点钱是真的不容易，都是血汗钱啊。
23,BV1Ba4y197gM,23,[星星眼]饼伦辛苦啦！！！一定要找机会去吃一次你的饼，看着好香好饿[大哭][大哭][大哭]
24,BV1Ba4y197gM,24,@宗申机车 给咱饼伦赞助一个三轮呗[tv_doge]
25,BV1Ba4y197gM,25,没火之前一个饼八块，火了之后一个饼七块[大哭][大哭][大哭]
26,BV1Ba4y197gM,26,饼哥车子旁边都是挡着的，这样骑车的时候雨水灰尘都进不去，已经比很多路边小车干净了，上次在学校门口看见下雨了一辆卖烧烤的三轮车直接露着天骑回家了，就再也没有吃过这种车车的了
27,BV1Ba4y197gM,27,太辛苦了，这么早起来就要准备材料，还得去卖饼，还得开演唱会
28,BV1Ba4y197gM,28,感觉是不是签了mcn公司啊，好好看合同什么的，别被一些mcn公司坑了
29,BV1Ba4y197gM,29,昆凌晚上和面白天拍视频也不轻松呀[doge]
30,BV1Ba4y197gM,30,他完全可以不用这么辛苦卖饼了。有人质疑作秀，我只想说质朴的外表务实的心，还有人冷嘲热讽真没有良心。
31,BV1Ba4y197gM,31,这卫生条件在很多小吃摊里都算好的，有的青菜给你沾沾水洗一回都不错了。
32,BV1Ba4y197gM,32,ae86一直在他身边，发动机涡轮被改造成了切丝机，转速一万转！[doge]
33,BV1Ba4y197gM,33,饼伦的食材真的处理得很干净 看着很舒服 加油！
34,BV1Ba4y197gM,34,土豆丝不是干净的吗 为什么要洗呢
35,BV1Ba4y197gM,35,周杰伦一定很羡慕你的头发[doge]
36,BV1Ba4y197gM,36,同框
37,BV1Ba4y197gM,37,哥，下雪了这两天，路滑的很，注意安全，您出摊的那也没几个人走动了，这几天卖不出去的，休息几天吧
