VideoID,VideoTitle,Description,Views,Likes,CategoryID
BV1N64y1V7xG,招娣这个名字就不该出现在户口上？,-,504525,56627,1
BV1qb4y157F8,今晚的主角是我，不是你,有些人生来就是主角，但今晚主角不是你,1291201,95044,2
BV14N4y1h7DJ,这 太 苏 维 埃 了！,,1372986,140284,3
BV1Qg4y1Z71S,我们造了一台能飞的自行车，科幻进入现实【硬核改装】,"BGM：
(No Copyright Music) Rock Trailer [Rock Music] by MOKKA _ Bad Karma
(No Copyright Music) Happy Day [Happy Music] by MOKKA _ Give Me Your Hand

◆制作设备
xTool激光切割机，拓竹X1CC打印机
材料：死飞自行车/7mmkt板/3mm椴木层板
动力系统：TMOTOR AM600 kv555动力套装
电池：6S 75C 5200mah

录像 ：SONY A7C /SONY FX3 /TAMRON28-200/Insta360 Go2
录音：猛玛LARK MAX/ Sony ECM-B10",533506,56402,4
BV1jN4y1h7Yj,【阿斗】根据贵州真实案件改编！历时3年，剧本改了26稿，这部国产黑马悬疑喜剧全是名场面！《追凶者也》,"国产电影：

《笼民》：BV1Tf4y1D7wE 
《菊豆》：BV1Sr4y1w7fZ
《断刀客》：BV1Gt4y1e7FQ
《一代妖后》：BV1Lo4y1d78z
《可可西里》：BV1Np4y1i791
《火烧红莲寺》：BV1bU4y1x76o
《南海十三郎》：BV11K4y1Z7Kt
《中国最后一个太监》：BV1Cp4y1r7zy

喜欢的话多多点赞、投币、收藏吧，你们的三连支持就我更新的最大动力。
更多精彩内容，关注我的微信公众号——阿斗归来了（adouGLL）",834213,38862,6
BV1T94y1N72y,探秘全世界最穷国家，每天收入才10元？ 吃的也太炸裂！！,今天JoeJoe要带你们去到神秘的非洲大陆，看看人均日收入10元的国家，每天都在吃什么！！,839628,84798,7
BV1bG411e726,千万别把哈密瓜直接放在土壤上，不然它们就会这样生长！,盆栽哈密瓜一棵苗结5个瓜！你敢信？,1401196,100540,5
BV17e411k7hG,没梗、没瓜、没段子，陈思诚这次真没活了？聊聊《三大队》【以片概全】,"《三大队》由作者深蓝的纪实文学《请转告局长，三大队任务完成了》改编，故事有原型，事件也是真实事件。
横跨12年的追凶之旅，令电影《三大队》必然呈现出压抑而煎熬的真实氛围。
电影值不值得看，各位听我好好聊聊。
关注微信公众号：小片片说大片，更多宠粉福利等你来！",1021024,25257,6
BV1La4y1R7vH,三个打一个被反杀，会不会玩！,-,881528,63371,9
BV1sC4y1u7BG,君の战地 完结篇,简介好用心哦～,395653,41802,8
BV1P64y1V7PT,东北奇缘,-,762198,100134,1
